 # ID name  angle[rad]  betax[m]  betay[m] halfgap[m]  Material  Length[m]  sigx[m]  sigy[m] tilt1[rad] tilt2[rad] nsig
        27 TCDQA.B4R6.B    0.0000000000E+00    0.6751899552E+03    0.1297802785E+03    0.5065317061E-02 C    0.30000E+01   0.56281E-03   0.24675E-03   0.00000E+00   0.00000E+00   0.90000E+01
        28 TCSP.A4R6.B1    0.0000000000E+00    0.6909633792E+03    0.1333512682E+03    0.5124142089E-02 C    0.10000E+01   0.56935E-03   0.25012E-03   0.00000E+00   0.00000E+00   0.90000E+01
        29 TCP.D6L7.B1     0.1571000000E+01    0.1588672680E+03    0.7826268180E+02    0.1092203005E-02 C    0.60000E+00   0.27300E-03   0.19161E-03   0.00000E+00   0.00000E+00   0.57000E+01
        30 TCP.C6L7.B1     0.0000000000E+00    0.1505249392E+03    0.8276243808E+02    0.1514712555E-02 C    0.60000E+00   0.26574E-03   0.19705E-03   0.00000E+00   0.00000E+00   0.57000E+01
        31 TCP.B6L7.B1     0.2215000000E+01    0.1424593259E+03    0.8748737961E+02    0.1278953997E-02 C    0.60000E+00   0.25852E-03   0.20259E-03   0.00000E+00   0.00000E+00   0.57000E+01
        32 TCSG.A6L7.B1    0.2462660000E+01    0.3987093003E+02    0.2269213095E+03    0.1777836849E-02 C    0.10000E+01   0.13677E-03   0.32628E-03   0.00000E+00   0.00000E+00   0.77000E+01
        33 TCSG.B5L7.B1    0.2504550000E+01    0.1600150553E+03    0.1665131296E+03    0.2124809775E-02 C    0.10000E+01   0.27399E-03   0.27950E-03   0.00000E+00   0.00000E+00   0.77000E+01
        34 TCSG.A5L7.B1    0.7103500000E+00    0.1859945396E+03    0.1459294052E+03    0.2167856916E-02 C    0.10000E+01   0.29539E-03   0.26165E-03   0.00000E+00   0.00000E+00   0.77000E+01
        35 TCSG.D4L7.B1    0.1570800000E+01    0.3329636506E+03    0.6886052372E+02    0.1383971112E-02 C    0.10000E+01   0.39523E-03   0.17974E-03   0.00000E+00   0.00000E+00   0.77000E+01
        36 TCSG.B4L7.B1    0.0000000000E+00    0.1397605685E+03    0.1309954679E+03    0.1971669842E-02 C    0.10000E+01   0.25606E-03   0.24790E-03   0.00000E+00   0.00000E+00   0.77000E+01
        37 TCSG.A4L7.B1    0.2349210000E+01    0.1286736198E+03    0.1412953670E+03    0.1938320414E-02 C    0.10000E+01   0.24569E-03   0.25746E-03   0.00000E+00   0.00000E+00   0.77000E+01
        38 TCSG.A4R7.B1    0.8080900000E+00    0.1182834594E+03    0.1522202801E+03    0.1945118007E-02 C    0.10000E+01   0.23557E-03   0.26723E-03   0.00000E+00   0.00000E+00   0.77000E+01
        39 TCSG.B5R7.B1    0.2469640000E+01    0.1218512080E+03    0.2675804719E+03    0.2227142315E-02 C    0.10000E+01   0.23909E-03   0.35431E-03   0.00000E+00   0.00000E+00   0.77000E+01
        40 TCSG.D5R7.B1    0.8971000000E+00    0.2138809711E+03    0.1585528445E+03    0.2238124150E-02 C    0.10000E+01   0.31677E-03   0.27273E-03   0.00000E+00   0.00000E+00   0.77000E+01
        41 TCSG.E5R7.B1    0.2277650000E+01    0.2414038520E+03    0.1361172931E+03    0.2240837567E-02 C    0.10000E+01   0.33653E-03   0.25270E-03   0.00000E+00   0.00000E+00   0.77000E+01
