# 1=icoll 2=c_rotation 3=s 4=x 5=xp 6=y 7=yp 8=nabs 9=np 10=ntu
  30 0.000 0.060865   -1.5201323e+00    2.1539285e-02   -3.1022156e-01   -5.7485885e-03  1   101    1
  30 0.000 0.171889    1.5163616e+00   -1.8593588e-02   -1.7436012e-02    2.0528147e-03  1   104    1
  30 0.000 0.199521    1.5148777e+00   -2.0758576e-02    1.8577920e-01    4.6571749e-03  1   107    1
  30 0.000 0.181534   -1.5206203e+00    2.0523987e-02   -2.2209483e-01   -4.2057924e-03  1   108    1
  30 0.000 0.076258   -1.5194870e+00    2.0977273e-02    1.7230704e-01    4.6137267e-03  1   120    1
  30 0.000 0.363937   -1.5161214e+00    1.9990480e-02   -4.4270679e-02    4.7371382e-03  1   122    1
  30 0.000 0.034837    1.5150331e+00   -1.9283186e-02    1.8186452e-01    2.1528058e-03  1   123    1
  30 0.000 0.381219    1.5163019e+00   -2.0435831e-02   -1.4607541e-01   -5.2168959e-03  4   124    1
  30 0.000 0.009951    1.5162108e+00   -2.1470321e-02   -3.3500606e-02   -1.4533362e-03  1   125    1
  30 0.000 0.252737   -1.5172351e+00    2.0494533e-02    2.5198769e-01    4.8358104e-03  1   131    1
  30 0.000 0.062204    1.5160068e+00   -1.9188710e-02    6.1526604e-02    2.7056711e-03  1   132    1
  30 0.000 0.016742    1.5204341e+00   -2.0304498e-02    1.2049899e-01   -3.4500790e-03  1   134    1
  30 0.000 0.245548   -1.5161037e+00    3.7664198e-02    8.0703499e-02    2.4803648e-02  1   137    1
  30 0.000 0.045175    1.5178664e+00   -1.9345933e-02   -5.3414157e-02   -2.9837008e-03  1   139    1
  30 0.000 0.264100   -1.5204815e+00    1.5962618e-03   -2.1042419e-01   -3.2426004e-02  1   140    1
  30 0.000 0.217022    1.5175721e+00   -2.2234811e-02   -1.1192031e-01   -1.5386701e-03  1   141    1
  30 0.000 0.024407    1.5167000e+00   -1.9765092e-02   -3.7007380e-01   -4.5895134e-03  1   142    1
  30 0.000 0.114754    1.5224253e+00   -2.0719631e-02    2.2437228e-01    3.4612048e-03  1   146    1
  30 0.000 0.129953    1.5183376e+00   -1.7705028e-02   -2.0805459e-01   -4.3620034e-03  1   150    1
  30 0.000 0.021023   -1.5152654e+00    2.0334727e-02    8.9744640e-02    4.8635474e-04  1   152    1
  30 0.000 0.000170   -1.5182435e+00    1.9672882e-02   -1.8233966e-02   -3.8346688e-03  1   154    1
  30 0.000 0.203621   -1.5162005e+00    2.2770625e-02    3.0761577e-02    7.2676996e-03  1   155    1
  30 0.000 0.187154   -1.5206471e+00    2.0696325e-02    7.3222873e-02    3.0941792e-03  1   159    1
  30 0.000 0.104603    1.5164017e+00   -2.2210151e-02   -3.3583768e-01   -6.1146473e-03  1   162    1
  30 0.000 0.035456    1.5194559e+00   -2.0961460e-02    5.1426592e-01    6.9827494e-03  1   163    1
  30 0.000 0.145926    1.5191294e+00   -2.0048742e-02   -2.1995061e-01   -6.4318993e-03  1   164    1
  33 2.505 0.370630   -3.4100775e+00   -9.0487283e-02   -3.6492889e-01   -3.7064093e-02  1   114    1
  33 2.505 0.361323   -7.2999584e+00   -8.8461445e-02    5.6846934e-01    7.0731741e-02  1   151    1
  35 1.571 0.436045   -5.2062102e-01   -9.1782965e-03   -2.0354991e+00   -5.3026371e-03  1   124    1
  37 2.349 0.743817   -5.2279096e-01   -2.7428798e-02    2.2785150e+00   -7.7259711e-03  1   115    1
  40 0.897 0.323928    2.4373895e+00    3.6790626e-02    2.1483621e+00   -5.1388420e-02  1   116    1
  30 0.000 0.093841    1.9714250e+00   -2.8777005e-02    5.4792641e-01    1.4139329e-02  4   130    3
  32 2.463 0.002739    2.7400199e+00    1.8340233e-02    2.6285359e-01   -6.5560587e-03  1   130    3
  30 0.000 0.282848   -1.5361755e+00    1.7290866e-02   -1.2248554e-02   -1.9042861e-03  1   136    4
  30 0.000 0.153115    1.7774826e+00   -2.3362505e-02    2.8471534e-02   -4.6457340e-03  1   145    4
  30 0.000 0.068065    1.5243580e+00   -2.3515650e-02   -1.0114383e-01   -2.7095286e-04  1   105    6
  30 0.000 0.126588    1.6167822e+00   -2.3144164e-02   -2.4421875e-01   -5.1653095e-03  1   110    6
  30 0.000 0.418049    1.5211172e+00   -2.0882830e-02    3.9174471e-01    3.1161741e-03  1   111    6
  30 0.000 0.532015    1.5167154e+00   -2.8882456e-02   -1.3858592e-01   -1.0229849e-02  1   148    6
  30 0.000 0.566712    1.5439918e+00   -4.6031636e-02   -5.6378659e-03   -6.3763777e-03  1   158    6
  34 0.710 0.614350   -4.4616376e+00   -1.2707448e-01    5.4606394e-01    5.6124328e-03  1   119    6
