 # turn element attribute SETidx funname value
           8 CRAB2A               phase                  13 c2                   0.157079633E+01
           8 CRAB2B               phase                  14 c2                   0.157079633E+01
           8 CRAB2C               phase                  15 c2                   0.157079633E+01
           8 CRAB2D               phase                  16 c2                   0.157079633E+01
           9 CRAB1A               voltage                 1 on_1                 0.338050877E+01
           9 CRAB1B               voltage                 2 on_1                 0.338050877E+01
           9 CRAB1C               voltage                 3 on_1                 0.338050877E+01
           9 CRAB1D               voltage                 4 on_1                 0.338050877E+01
           9 CRAB2A               voltage                 9 on_2                 0.289637287E+01
           9 CRAB2B               voltage                10 on_2                 0.289637287E+01
           9 CRAB2C               voltage                11 on_2                 0.289637287E+01
           9 CRAB2D               voltage                12 on_2                 0.289637287E+01
           9 CRAB2A               phase                  13 c2                   0.157079633E+01
           9 CRAB2B               phase                  14 c2                   0.157079633E+01
           9 CRAB2C               phase                  15 c2                   0.157079633E+01
           9 CRAB2D               phase                  16 c2                   0.157079633E+01
          10 CRAB1A               voltage                 1 on_1                 0.338050877E+01
          10 CRAB1B               voltage                 2 on_1                 0.338050877E+01
          10 CRAB1C               voltage                 3 on_1                 0.338050877E+01
          10 CRAB1D               voltage                 4 on_1                 0.338050877E+01
          10 CRAB2A               voltage                 9 on_2                 0.289637287E+01
          10 CRAB2B               voltage                10 on_2                 0.289637287E+01
          10 CRAB2C               voltage                11 on_2                 0.289637287E+01
          10 CRAB2D               voltage                12 on_2                 0.289637287E+01
          10 CRAB2A               phase                  13 c2                   0.157079633E+01
          10 CRAB2B               phase                  14 c2                   0.157079633E+01
          10 CRAB2C               phase                  15 c2                   0.157079633E+01
          10 CRAB2D               phase                  16 c2                   0.157079633E+01
          11 CRAB1A               voltage                 1 on_1                 0.338050877E+01
          11 CRAB1B               voltage                 2 on_1                 0.338050877E+01
          11 CRAB1C               voltage                 3 on_1                 0.338050877E+01
          11 CRAB1D               voltage                 4 on_1                 0.338050877E+01
          11 CRAB2A               voltage                 9 on_2                 0.289637287E+01
          11 CRAB2B               voltage                10 on_2                 0.289637287E+01
          11 CRAB2C               voltage                11 on_2                 0.289637287E+01
          11 CRAB2D               voltage                12 on_2                 0.289637287E+01
          11 CRAB2A               phase                  13 c2                   0.157079633E+01
          11 CRAB2B               phase                  14 c2                   0.157079633E+01
          11 CRAB2C               phase                  15 c2                   0.157079633E+01
          11 CRAB2D               phase                  16 c2                   0.157079633E+01
          12 CRAB1A               voltage                 1 on_1                 0.338050877E+01
          12 CRAB1B               voltage                 2 on_1                 0.338050877E+01
          12 CRAB1C               voltage                 3 on_1                 0.338050877E+01
          12 CRAB1D               voltage                 4 on_1                 0.338050877E+01
          12 CRAB2A               voltage                 9 on_2                 0.289637287E+01
          12 CRAB2B               voltage                10 on_2                 0.289637287E+01
          12 CRAB2C               voltage                11 on_2                 0.289637287E+01
          12 CRAB2D               voltage                12 on_2                 0.289637287E+01
          12 CRAB2A               phase                  13 c2                   0.157079633E+01
          12 CRAB2B               phase                  14 c2                   0.157079633E+01
          12 CRAB2C               phase                  15 c2                   0.157079633E+01
          12 CRAB2D               phase                  16 c2                   0.157079633E+01
          13 CRAB1A               voltage                 1 on_1                 0.338050877E+01
          13 CRAB1B               voltage                 2 on_1                 0.338050877E+01
          13 CRAB1C               voltage                 3 on_1                 0.338050877E+01
          13 CRAB1D               voltage                 4 on_1                 0.338050877E+01
          13 CRAB2A               voltage                 9 on_2                 0.289637287E+01
          13 CRAB2B               voltage                10 on_2                 0.289637287E+01
          13 CRAB2C               voltage                11 on_2                 0.289637287E+01
          13 CRAB2D               voltage                12 on_2                 0.289637287E+01
          13 CRAB2A               phase                  13 c2                   0.157079633E+01
          13 CRAB2B               phase                  14 c2                   0.157079633E+01
          13 CRAB2C               phase                  15 c2                   0.157079633E+01
          13 CRAB2D               phase                  16 c2                   0.157079633E+01
          14 CRAB1A               voltage                 1 on_1                 0.338050877E+01
          14 CRAB1B               voltage                 2 on_1                 0.338050877E+01
          14 CRAB1C               voltage                 3 on_1                 0.338050877E+01
          14 CRAB1D               voltage                 4 on_1                 0.338050877E+01
          14 CRAB2A               voltage                 9 on_2                 0.289637287E+01
          14 CRAB2B               voltage                10 on_2                 0.289637287E+01
          14 CRAB2C               voltage                11 on_2                 0.289637287E+01
          14 CRAB2D               voltage                12 on_2                 0.289637287E+01
          14 CRAB2A               phase                  13 c2                   0.157079633E+01
          14 CRAB2B               phase                  14 c2                   0.157079633E+01
          14 CRAB2C               phase                  15 c2                   0.157079633E+01
          14 CRAB2D               phase                  16 c2                   0.157079633E+01
          15 CRAB1A               voltage                 1 on_1                 0.338050877E+01
          15 CRAB1B               voltage                 2 on_1                 0.338050877E+01
          15 CRAB1C               voltage                 3 on_1                 0.338050877E+01
          15 CRAB1D               voltage                 4 on_1                 0.338050877E+01
          15 CRAB2A               voltage                 9 on_2                 0.289637287E+01
          15 CRAB2B               voltage                10 on_2                 0.289637287E+01
          15 CRAB2C               voltage                11 on_2                 0.289637287E+01
          15 CRAB2D               voltage                12 on_2                 0.289637287E+01
          15 CRAB2A               phase                  13 c2                   0.157079633E+01
          15 CRAB2B               phase                  14 c2                   0.157079633E+01
          15 CRAB2C               phase                  15 c2                   0.157079633E+01
          15 CRAB2D               phase                  16 c2                   0.157079633E+01
          16 CRAB1A               voltage                 1 on_1                 0.338050877E+01
          16 CRAB1B               voltage                 2 on_1                 0.338050877E+01
          16 CRAB1C               voltage                 3 on_1                 0.338050877E+01
          16 CRAB1D               voltage                 4 on_1                 0.338050877E+01
          16 CRAB2A               voltage                 9 on_2                 0.289637287E+01
          16 CRAB2B               voltage                10 on_2                 0.289637287E+01
          16 CRAB2C               voltage                11 on_2                 0.289637287E+01
          16 CRAB2D               voltage                12 on_2                 0.289637287E+01
          16 CRAB2A               phase                  13 c2                   0.157079633E+01
          16 CRAB2B               phase                  14 c2                   0.157079633E+01
          16 CRAB2C               phase                  15 c2                   0.157079633E+01
          16 CRAB2D               phase                  16 c2                   0.157079633E+01
          17 CRAB1A               voltage                 1 on_1                 0.338050877E+01
          17 CRAB1B               voltage                 2 on_1                 0.338050877E+01
          17 CRAB1C               voltage                 3 on_1                 0.338050877E+01
          17 CRAB1D               voltage                 4 on_1                 0.338050877E+01
          17 CRAB2A               voltage                 9 on_2                 0.289637287E+01
          17 CRAB2B               voltage                10 on_2                 0.289637287E+01
          17 CRAB2C               voltage                11 on_2                 0.289637287E+01
          17 CRAB2D               voltage                12 on_2                 0.289637287E+01
          17 CRAB2A               phase                  13 c2                   0.157079633E+01
          17 CRAB2B               phase                  14 c2                   0.157079633E+01
          17 CRAB2C               phase                  15 c2                   0.157079633E+01
          17 CRAB2D               phase                  16 c2                   0.157079633E+01
          18 CRAB1A               voltage                 1 on_1                 0.338050877E+01
          18 CRAB1B               voltage                 2 on_1                 0.338050877E+01
          18 CRAB1C               voltage                 3 on_1                 0.338050877E+01
          18 CRAB1D               voltage                 4 on_1                 0.338050877E+01
          18 CRAB2A               voltage                 9 on_2                 0.289637287E+01
          18 CRAB2B               voltage                10 on_2                 0.289637287E+01
          18 CRAB2C               voltage                11 on_2                 0.289637287E+01
          18 CRAB2D               voltage                12 on_2                 0.289637287E+01
          18 CRAB2A               phase                  13 c2                   0.157079633E+01
          18 CRAB2B               phase                  14 c2                   0.157079633E+01
          18 CRAB2C               phase                  15 c2                   0.157079633E+01
          18 CRAB2D               phase                  16 c2                   0.157079633E+01
          19 CRAB1A               voltage                 1 on_1                 0.338050877E+01
          19 CRAB1B               voltage                 2 on_1                 0.338050877E+01
          19 CRAB1C               voltage                 3 on_1                 0.338050877E+01
          19 CRAB1D               voltage                 4 on_1                 0.338050877E+01
          19 CRAB2A               voltage                 9 on_2                 0.289637287E+01
          19 CRAB2B               voltage                10 on_2                 0.289637287E+01
          19 CRAB2C               voltage                11 on_2                 0.289637287E+01
          19 CRAB2D               voltage                12 on_2                 0.289637287E+01
          19 CRAB2A               phase                  13 c2                   0.157079633E+01
          19 CRAB2B               phase                  14 c2                   0.157079633E+01
          19 CRAB2C               phase                  15 c2                   0.157079633E+01
          19 CRAB2D               phase                  16 c2                   0.157079633E+01
          20 CRAB1A               voltage                 1 on_1                 0.338050877E+01
          20 CRAB1B               voltage                 2 on_1                 0.338050877E+01
          20 CRAB1C               voltage                 3 on_1                 0.338050877E+01
          20 CRAB1D               voltage                 4 on_1                 0.338050877E+01
          20 CRAB2A               voltage                 9 on_2                 0.289637287E+01
          20 CRAB2B               voltage                10 on_2                 0.289637287E+01
          20 CRAB2C               voltage                11 on_2                 0.289637287E+01
          20 CRAB2D               voltage                12 on_2                 0.289637287E+01
          20 CRAB2A               phase                  13 c2                   0.157079633E+01
          20 CRAB2B               phase                  14 c2                   0.157079633E+01
          20 CRAB2C               phase                  15 c2                   0.157079633E+01
          20 CRAB2D               phase                  16 c2                   0.157079633E+01
